timestamp,cash,market_value,total_equity
2026-03-12 10:37:01.638271,89979.98381725,10000.002505226135,99979.98632247614
2026-03-12 10:37:01.893036,85631.65644331,15743.57113356247,101375.22757687246
2026-03-12 10:37:01.933180,89902.79012196,11060.754064788818,100963.54418674883
2026-03-12 10:37:01.972573,100440.87387496,0.0,100440.87387496
2026-03-12 10:37:01.972970,94790.69144362,5638.900030421448,100429.59147404144
2026-03-12 10:37:02.029313,100377.22204209,0.0,100377.22204209
2026-03-12 10:37:02.029741,105963.75264056,-5.596981055756846,105958.15565950423
2026-03-12 10:37:02.075098,100336.82989325999,0.0,100336.82989325999
2026-03-12 10:37:02.075536,94709.90714595998,5615.68443701477,100325.59158297475
2026-03-12 10:37:03.125312,86203.61073291997,14632.053522328184,100835.66425524815
2026-03-12 10:37:03.126461,81604.51280115997,19221.96716248169,100826.47996364167
2026-03-12 10:37:03.203536,87755.44219132997,12978.48082800293,100733.9230193329
2026-03-12 10:37:03.253361,85703.81378329998,14705.190554489136,100409.00433778911
2026-03-12 10:37:03.294242,98492.35973209998,2049.5069867385864,100541.86671883857
2026-03-12 10:37:03.337450,96219.49732639999,4264.687862859344,100484.18518925933
2026-03-12 10:37:03.337848,98211.87085030999,2268.32324449234,100480.19409480233
2026-03-12 10:37:03.338241,95821.70799700999,4653.71265813446,100475.42065514445
2026-03-12 10:37:03.375672,100624.59932330999,0.0,100624.59932330999
2026-03-12 10:37:03.414283,92121.69620732998,8485.926032913207,100607.62224024319
2026-03-12 10:37:03.415167,88399.04854587998,12201.138974227904,100600.18752010788
2026-03-12 10:37:03.563202,91995.40805804999,8284.139513755035,100279.54757180501
2026-03-12 10:37:03.602813,100149.47077146999,0.0,100149.47077146999
2026-03-12 10:37:03.603255,93462.93945707999,6673.177038153076,100136.11649523307
2026-03-12 10:37:03.640955,100241.47168222,0.0,100241.47168222
2026-03-12 10:37:03.641370,97305.25942982,2930.3488707962038,100235.60830061621
2026-03-12 10:37:03.682520,94740.53831753,5586.227506977844,100326.76582450783
2026-03-12 10:37:03.719162,97302.19479191999,3137.579343841553,100439.77413576155
2026-03-12 10:37:03.795544,93548.23469875999,7022.731479382324,100570.96617814232
2026-03-12 10:37:03.796416,88161.10131723998,12399.105819158935,100560.20713639892
2026-03-12 10:37:03.881063,97399.37563461998,3256.55398072815,100655.92961534813
2026-03-12 10:37:03.919557,90964.23897396999,9564.907213110351,100529.14618708033
2026-03-12 10:37:03.956900,93983.21717036999,6234.93599525299,100218.15316562298
2026-03-12 10:37:04.266397,100411.97845638999,0.0,100411.97845638999
2026-03-12 10:37:04.302906,96073.69278214998,4329.6230640625,100403.31584621248
2026-03-12 10:37:04.303697,86012.40735972999,14370.816148324586,100383.22350805457
2026-03-12 10:37:04.339640,96179.54848102998,4295.946900683593,100475.49538171358
2026-03-12 10:37:04.378525,86542.34260149999,14024.560454835511,100566.90305633549
2026-03-12 10:37:04.379033,90940.1359343,9617.958917823793,100558.09485212379
2026-03-12 10:37:04.416550,86733.17053198,13824.076805236818,100557.24733721682
2026-03-12 10:37:04.417310,83768.13141998,16783.195752227784,100551.32717220778
2026-03-12 10:37:04.417715,93374.3997846,7157.684479165649,100532.08426376565
2026-03-12 10:37:04.452280,84018.27232091001,16502.9771169281,100521.24943783811
2026-03-12 10:37:04.523755,93350.50223415002,7085.983283865356,100436.48551801537
2026-03-12 10:37:04.558274,83996.77981390001,16407.41657217102,100404.19638607102
2026-03-12 10:37:04.591910,93332.2158474,7084.933774099731,100417.14962149973
2026-03-12 10:37:04.624996,83980.31508500001,16304.063223078916,100284.37830807893
2026-03-12 10:37:04.657861,93335.49094540002,6847.845828362274,100183.33677376229
2026-03-12 10:37:04.690920,100110.62301534001,0.0,100110.62301534001
2026-03-12 10:37:04.691347,91768.28997487001,8325.675003675842,100093.96497854586
2026-03-12 10:37:04.723894,86880.44762774001,13107.451001054382,99987.89862879438
2026-03-12 10:37:04.756380,91603.70528261001,8008.754829983521,99612.46011259353
2026-03-12 10:37:04.787804,83987.60454381001,15567.29660037384,99554.90114418385
2026-03-12 10:37:04.818948,91542.55831661001,8010.1217242874145,99552.68004089742
2026-03-12 10:37:04.850384,99347.16555155002,0.0,99347.16555155002
2026-03-12 10:37:04.850813,94417.15491299002,4920.163838342286,99337.3187513323
2026-03-12 10:37:04.881314,99338.44154475002,0.0,99338.44154475002
2026-03-12 10:37:04.927533,96967.27286739003,2366.4335014465332,99333.70636883656
2026-03-12 10:37:04.928616,94584.77341663002,4744.174257836914,99328.94767446694
2026-03-12 10:37:04.929669,91284.58337807002,8037.773876928711,99322.35725499873
2026-03-12 10:37:04.964470,93607.99155937001,5586.697239520264,99194.68879889027
2026-03-12 10:37:04.964502,99183.52090281,0.0,99183.52090281
2026-03-12 10:37:05.103363,96875.03258409,2303.877718413544,99178.91030250354
2026-03-12 10:37:05.104108,93003.70850586,6167.471295365143,99171.17980122515
2026-03-12 10:37:05.139005,95266.62548585,3849.5021200012206,99116.12760585123
2026-03-12 10:37:05.139034,99108.43217111,0.0,99108.43217111
2026-03-12 10:37:05.203508,96063.45017736,3038.900551185608,99102.35072854561
2026-03-12 10:37:05.234501,99181.50261861,0.0,99181.50261861
2026-03-12 10:37:05.267182,90911.98917716,8252.997824356078,99164.98700151607
2026-03-12 10:37:05.298592,99315.40119755999,0.0,99315.40119755999
2026-03-12 10:37:05.331398,93183.17034068,6119.984845349121,99303.15518602912
2026-03-12 10:37:05.363123,99266.56570923999,0.0,99266.56570923999
2026-03-12 10:37:05.396063,95891.06168423999,3368.7632426605223,99259.82492690052
2026-03-12 10:37:05.428653,99243.61543964,0.0,99243.61543964
2026-03-12 10:37:05.462607,93773.9801106,5458.711439825439,99232.69155042543
2026-03-12 10:37:05.463641,85888.56287689999,13328.381771139526,99216.94464803951
2026-03-12 10:37:05.498585,91311.95712225999,7857.049235087586,99169.00635734758
2026-03-12 10:37:05.498619,99153.29916271,0.0,99153.29916271
2026-03-12 10:37:05.532804,94230.87176824,4912.597370124817,99143.46913836482
2026-03-12 10:37:05.566892,87277.11927584,11885.560235728455,99162.67951156845
2026-03-12 10:37:05.601945,94064.63246539,4901.565175054931,98966.19764044492
2026-03-12 10:37:05.667937,98977.59109352999,0.0,98977.59109352999
2026-03-12 10:37:05.702309,96272.80589702999,2699.384629486084,98972.19052651607
2026-03-12 10:37:05.703047,87747.05440002999,11208.111460443117,98955.1658604731
2026-03-12 10:37:05.736714,90407.97626432999,8386.108872149658,98794.08513647965
2026-03-12 10:37:05.736741,98777.32063705,0.0,98777.32063705
2026-03-12 10:37:05.770399,95206.46227537,3563.7276091400145,98770.18988451001
2026-03-12 10:37:05.771165,90661.11499837,8099.999543295287,98761.11454166529
2026-03-12 10:37:08.236184,97296.48221961,5160.0209263031,102456.5031459131
2026-03-12 10:37:08.236215,102446.18873311,0.0,102446.18873311
2026-03-12 10:37:08.270100,93789.51992276,8639.382217002869,102428.90213976287
2026-03-12 10:37:08.270894,91661.65952798999,10762.993291157532,102424.65281914752
2026-03-12 10:37:08.304566,100499.36282278999,2113.697825717163,102613.06064850715
2026-03-12 10:37:08.304599,102608.83511310999,0.0,102608.83511310999
2026-03-12 10:37:08.341975,93665.80516587,8925.168605657958,102590.97377152796
2026-03-12 10:37:08.342693,89607.06683586,12975.801938287354,102582.86877414735
2026-03-12 10:37:08.378261,93494.41808689,8687.760687213135,102182.17877410313
2026-03-12 10:37:08.412809,102020.07513417,0.0,102020.07513417
2026-03-12 10:37:08.413357,95789.46661024,6218.166346862793,102007.63295710279
2026-03-12 10:37:08.448897,101998.36625329999,0.0,101998.36625329999
2026-03-12 10:37:08.449273,99623.88981757998,2369.7340238342285,101993.62384141421
2026-03-12 10:37:08.482328,101989.16066179998,0.0,101989.16066179998
2026-03-12 10:37:08.482730,96088.00333271998,5889.373070928955,101977.37640364893
2026-03-12 10:37:08.515886,101978.88268999998,0.0,101978.88268999998
2026-03-12 10:37:08.549743,94092.43177474999,7870.702458648681,101963.13423339867
2026-03-12 10:37:08.582268,101614.95894584998,0.0,101614.95894584998
2026-03-12 10:37:08.615677,95100.71725588998,6501.231760693359,101601.94901658334
2026-03-12 10:37:08.647789,101431.03480890997,0.0,101431.03480890997
2026-03-12 10:37:08.680429,94928.55821494997,6489.490001434327,101418.0482163843
2026-03-12 10:37:08.712055,101368.13658102998,0.0,101368.13658102998
2026-03-12 10:37:08.744758,97680.41974374998,3680.353426904297,101360.77317065428
2026-03-12 10:37:08.745517,90555.83836890999,10790.705998693848,101346.54436760384
2026-03-12 10:37:08.778061,94210.96797939998,7118.517971618653,101329.48595101864
2026-03-12 10:37:08.778091,101315.25710075998,0.0,101315.25710075998
2026-03-12 10:37:08.810733,96691.43744779998,4614.584403469848,101306.02185126983
2026-03-12 10:37:08.811476,88945.52482603998,12345.028134658813,101290.5529606988
2026-03-12 10:37:08.844167,93548.28854755998,7950.708904577637,101498.99745213761
2026-03-12 10:37:08.844195,101483.10461191997,0.0,101483.10461191997
2026-03-12 10:37:08.844549,106085.86833343997,-4.612946741718519,106081.25538669825
2026-03-12 10:37:08.875244,101478.25642545997,0.0,101478.25642545997
2026-03-12 10:37:08.908753,96136.91145885998,5330.679455941773,101467.59091480175
